Station,Date,Year,Month,Day,NO,VWind,O3,DWind,PLiquid,HAir10,CO,NO2,P,PM2.5,SO2,RGlobal,TAir10,PM10
CLUB UNIÓN,2023-09-17,2023,9,17,13.84177273,1.32863636,27.68181818,236.5820455,0,71.47690909,587.6304091,27.39259091,679.7202273,10.56818182,1.05,196.4770455,25.30036364,
CLUB UNIÓN,2023-09-16,2023,9,16,16.90395833,1.45204167,27.6875,214.215875,0,72.61470833,763.10775,31.400375,679.6160417,11.45833333,0.9125,158.986375,25.25533333,
CLUB UNIÓN,2023-09-15,2023,9,15,15.04870833,1.39158333,27.67083333,263.4989167,0.00833333,75.89091667,679.2750833,30.74125,679.599,10.85833333,0.86666667,158.7889583,24.882,
CLUB UNIÓN,2023-09-14,2023,9,14,21.46291667,1.34733333,19.87916667,224.9899583,0.1,78.20029167,792.2734167,33.97308333,679.5531667,10.53333333,0.7375,148.6092917,24.298125,
CLUB UNIÓN,2023-09-13,2023,9,13,14.477625,1.41708333,26.3625,220.3545833,0.01666667,75.83458333,587.8194583,30.80820833,679.3654444,9.65416667,1.02916667,168.7209583,25.029,
CLUB UNIÓN,2023-09-12,2023,9,12,10.469,1.29729167,15.3,220.1961667,0.19995652,73.833375,683.4362,29.82694737,679.6995,7.65833333,0.6,170.6780833,24.67216667,15.1
CLUB UNIÓN,2023-09-11,2023,9,11,18.409625,1.22895833,22.26666667,216.0715417,0.575,77.43820833,1307.551167,27.91041667,682.13125,7.31666667,0.83333333,184.46625,23.65416667,13.50833333
CLUB UNIÓN,2023-09-10,2023,9,10,10.1046087,0.92286957,29.73913043,163.0761739,0.08695652,82.45126087,1141.864174,23.59465217,685.0085652,8.89565217,0.56956522,109.2911739,23.37595652,12.84782609
CLUB UNIÓN,2023-09-09,2023,9,9,16.9595,1.10179167,27.5125,168.4930417,0.23333333,70.83591667,1368.182292,34.59516667,683.6805833,12.5,0.4,150.0884583,24.82125,21.9625
CLUB UNIÓN,2023-09-08,2023,9,8,17.97325,0.96820833,27.64583333,151.5505833,0,66.77570833,1415.914,37.59183333,683.711,13.49166667,0.7625,151.915625,25.233375,23.97916667
CLUB UNIÓN,2023-09-07,2023,9,7,14.73933333,1.12033333,32.34166667,203.891,0.00833333,68.39916667,1336.377083,33.5725,683.7037083,11.13333333,0.39583333,133.6209167,25.498875,20.24583333
CLUB UNIÓN,2023-09-06,2023,9,6,13.75229167,1.08004167,36.175,172.3274167,0.01666667,68.76425,1273.666083,33.51775,684.14725,10.475,0.325,145.9025,26.17233333,19.625
CLUB UNIÓN,2023-09-05,2023,9,5,13.11558333,0.98379167,29.25833333,186.5796667,0.05833333,71.53891667,1279.598583,31.52745833,684.7332917,8.84583333,0.68333333,170.462625,25.27520833,16.56666667
CLUB UNIÓN,2023-09-04,2023,9,4,8.59920833,1.11420833,27.91666667,174.0462083,0,75.84979167,1073.699458,26.390125,684.921625,7.80833333,0.325,155.2041667,24.108625,14.1
CLUB UNIÓN,2023-09-03,2023,9,3,6.69926087,1.15291304,38.03478261,176.0043478,0,71.857,1001.222261,24.23186957,684.5404783,11.2,1.38695652,197.6591304,24.62304348,16.99565217
CLUB UNIÓN,2023-09-02,2023,9,2,11.04345833,1.24445833,32.23333333,192.2612083,0.10833333,72.48791667,1215.622458,31.14604167,684.0655,14.125,0.4,171.1718333,24.888375,24.2
CLUB UNIÓN,2023-09-01,2023,9,1,15.75466667,0.96508333,34.41666667,207.2210833,0,65.55820833,1340.979625,36.467625,684.1568333,14.3,0.55,200.49275,26.427375,25.72916667
CLUB UNIÓN,2023-08-31,2023,8,31,15.21291667,1.11729167,29.12083333,153.38825,0.00833333,64.64929167,1327.761167,38.370125,683.8431667,13.4125,1.12083333,163.6517083,26.237125,23.54583333
CLUB UNIÓN,2023-08-30,2023,8,30,14.9085,1.18866667,33.94166667,150.946375,0,66.04654167,1221.613042,32.59954167,684.201125,11.81666667,0.76666667,172.1494167,25.97829167,21.56666667
CLUB UNIÓN,2023-08-29,2023,8,29,12.466,0.94654167,37.5,197.4728333,0.15,68.9595,1271.509167,33.19955,685.419875,12.92083333,2.4875,158.255875,25.33804167,22.40416667
CLUB UNIÓN,2023-08-28,2023,8,28,12.97120833,1.094625,32.3875,183.56375,0,63.75554167,1185.999375,31.31125,684.904,11.17916667,2.34583333,169.9656667,25.52029167,20.1625
CLUB UNIÓN,2023-08-27,2023,8,27,8.91278261,1.24152174,35.73913043,175.2966957,0,63.04778261,981.7306087,24.69204348,684.0282609,10.87826087,2.14347826,199.2122609,25.72069565,17.76956522
