Estacion,Fecha inicial,Año,Mes,Día,P,VViento,O3,DViento,PLiquida,PM2.5,PM10,RGlobal,SO2 TR,HAire10,TAire10
COLEGIO GAITÁN,2023-09-17,2023,9,17,688.7815455,0.90504545,29.48636364,194.3079546,0,9.96818182,16.98636364,187.2825455,2.32727273,74.59209091,24.85986364
COLEGIO GAITÁN,2023-09-16,2023,9,16,688.6545,1.00858333,32.125,217.784,0,10.70416667,19.075,171.24825,2.30833333,76.05116667,25.06020833
COLEGIO GAITÁN,2023-09-15,2023,9,15,688.6675417,0.69695833,34.44545455,228.9539583,0.00833333,9.50416667,17.49565217,144.3747083,1.34782609,80.32125,24.45458333
COLEGIO GAITÁN,2023-09-14,2023,9,14,688.606,0.81641667,21.31666667,228.0355417,0.15,12.25,22.88333333,155.7258333,1.76521739,80.851375,24.06541667
COLEGIO GAITÁN,2023-09-13,2023,9,13,685.967,1.21216667,25.37083333,249.80175,0.01666667,9.9125,19.24583333,0,2.09166667,81.05375,24.85945833
COLEGIO GAITÁN,2023-09-12,2023,9,12,683.985625,1.52754167,23.97083333,236.5518333,0,8.83333333,18.60833333,,2.73333333,80.41541667,24.42579167
COLEGIO GAITÁN,2023-09-11,2023,9,11,684.49625,1.67995833,22.43333333,247.6454167,0.62495833,7.425,14.6875,,2.19166667,82.408125,23.78691667
COLEGIO GAITÁN,2023-09-10,2023,9,10,684.7548696,1.387,29.45652174,221.5603478,0.90426087,7.45217391,11.39565217,,2.4826087,88.40721739,23.19004348
COLEGIO GAITÁN,2023-09-09,2023,9,9,683.4370417,1.54858333,27.9875,169.77825,0.11666667,13.825,24.7,,3.62916667,77.49570833,24.79425
COLEGIO GAITÁN,2023-09-08,2023,9,8,683.474,1.43295833,32.13333333,202.52225,0,14.49166667,29.29583333,,3.22916667,72.50420833,25.21179167
COLEGIO GAITÁN,2023-09-07,2023,9,7,683.4780833,1.66508333,40.25416667,210.1574583,0.025,11.84583333,27.93333333,,1.93333333,74.87595833,25.33225
COLEGIO GAITÁN,2023-09-06,2023,9,6,683.9492083,1.428875,39.9625,243.9692917,0,11.34166667,22.16666667,,2.425,75.42770833,26.13595833
COLEGIO GAITÁN,2023-09-05,2023,9,5,684.4865,1.65379167,32.49583333,254.4414583,0,9.54166667,18.12083333,,3.995,79.003875,25.18829167
COLEGIO GAITÁN,2023-09-04,2023,9,4,684.7145417,1.43483333,28.67083333,247.0342917,0,8.3125,16.36666667,,2.65,83.31391667,23.946375
COLEGIO GAITÁN,2023-09-03,2023,9,3,684.331913,1.56226087,41.91304348,241.2868261,0,10.82608696,17.01304348,,2.00869565,78.02773913,24.54230435
COLEGIO GAITÁN,2023-09-02,2023,9,2,683.8797083,1.60875,36.35416667,257.0807083,0.01666667,13.84166667,23.42083333,,2.57083333,76.76,24.854875
COLEGIO GAITÁN,2023-09-01,2023,9,1,683.9677917,1.49429167,40.38333333,232.824875,0,15.87083333,27.51666667,,3.21666667,72.67916667,26.26691667
COLEGIO GAITÁN,2023-08-31,2023,8,31,683.6615,1.367125,32.14166667,232.192125,0,17.1125,32.10833333,,3.325,71.02858333,26.12958333
COLEGIO GAITÁN,2023-08-30,2023,8,30,683.9887917,1.55779167,38.40833333,246.9247917,0,12.73333333,22.75,,2.44583333,73.418125,25.89770833
