Estacion,Fecha inicial,Año,Mes,Día,NO,VViento,O3,DViento,PLiquida,HAire10,CO,NO2,P,PM2.5,SO2,PM10,TAire10,RGlobal
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-17,2023,9,17,11.80327273,1.89054545,35.75,192.3705,0,69.94813636,524.2132273,26.55922727,677.2121818,9.39090909,0.68636364,18.78636364,24.89618182,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-16,2023,9,16,9.77245833,2.15133333,35.6,131.7403333,0.00833333,72.695125,624.0614167,28.19320833,677.1224583,10.1875,0.8625,19.30416667,24.74920833,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-15,2023,9,15,13.49033333,1.876625,31.35416667,207.5322083,0.00833333,75.879625,629.452375,27.58525,677.1185,9.20416667,0.8875,19.57083333,24.70858333,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-14,2023,9,14,13.26226316,1.773375,22.28636364,169.4810417,0.266625,76.79529167,714.1887143,25.19647368,677.059875,8.65,0.69545455,18.93333333,24.11554167,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-13,2023,9,13,13.7755,2.13783333,36.98333333,161.1229583,0,73.47466667,1694.601792,27.238625,676.8130556,9.00833333,1.08333333,18.98333333,25.13375,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-12,2023,9,12,10.9495,2.101125,30.6375,111.3212917,0,73.008,1566.791917,24.371375,677.17025,7.01666667,0.9875,16.01666667,24.4575,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-11,2023,9,11,13.10027273,2.07509091,20.1047619,127.8103182,1.07272727,78.05213636,1616.562818,22.94031818,677.6590455,6.16363636,0.38095238,16.42727273,23.10659091,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-10,2023,9,10,6.20491304,1.75321739,31.35217391,231.0027826,0,77.68208696,1456.473348,23.53556522,677.9314783,8.43043478,1.02608696,16.55652174,23.81747826,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-09,2023,9,9,11.14920833,2.082375,35.775,152.8484583,0,69.21483333,1611.833333,29.77183333,676.6461667,12.51666667,1.025,27.82083333,24.95691667,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-08,2023,9,8,12.41291667,2.0645,35.38333333,121.7663333,0,69.0345,1585.854708,30.37220833,676.685625,11.9875,1.06666667,26.94166667,24.99633333,
