Station,Date,Year,Month,Day,P,VWind,O3,DWind,PLiquid,PM2.5,PM10,RGlobal,SO2 TR,HAir10,TAir10
HOSPITAL DEL NORTE,2023-09-17,2023,9,17,694.5588182,1.96545455,30.21818182,174.7765909,0,10.85909091,19.78636364,186.6046818,3.53636364,74.60095455,25.47113636
HOSPITAL DEL NORTE,2023-09-16,2023,9,16,694.4154167,2.19179167,34.12083333,210.6082083,0,10.15416667,18.07916667,194.9333333,3.46666667,74.959375,25.74770833
HOSPITAL DEL NORTE,2023-09-15,2023,9,15,694.413375,1.6655,31.57272727,201.4030417,0.00833333,10.22083333,19.82173913,138.8392083,4.03333333,79.90620833,25.28104167
HOSPITAL DEL NORTE,2023-09-14,2023,9,14,694.3757917,1.659875,24.31666667,199.8557917,0.216625,9.8375,19.5125,152.0194583,5.44545455,82.34133333,24.53579167
HOSPITAL DEL NORTE,2023-09-13,2023,9,13,696.2102222,1.65591667,28.5125,214.691875,0.00833333,8.88333333,18.20416667,180.8470833,3.35,75.68608333,25.5015
HOSPITAL DEL NORTE,2023-09-12,2023,9,12,698.789,1.66133333,24.40416667,221.1425833,0,8.9375,17.9125,0,3.94583333,75.44854167,24.97008333
HOSPITAL DEL NORTE,2023-09-11,2023,9,11,696.624625,1.87658333,22.84583333,217.227375,0.52495833,7.35416667,15.09166667,,2.05,76.90229167,24.57175
HOSPITAL DEL NORTE,2023-09-10,2023,9,10,695.3431304,1.5146087,22.76956522,188.0145652,0.29565217,7.24782609,13.05652174,,3.51304348,85.10834783,23.90704348
HOSPITAL DEL NORTE,2023-09-09,2023,9,9,693.9745,2.206125,27.9625,131.7975833,0.275,11.72916667,22.74583333,,3.46666667,74.78129167,25.14445833
HOSPITAL DEL NORTE,2023-09-08,2023,9,8,693.9933333,2.154875,33.42083333,178.8272917,0,11.69166667,23.9625,,4.03333333,68.22116667,25.54154167
HOSPITAL DEL NORTE,2023-09-07,2023,9,7,693.9723333,2.10054167,37.675,208.6815,0.03333333,12.16666667,23.77916667,,5.44545455,71.105875,26.264375
HOSPITAL DEL NORTE,2023-09-06,2023,9,6,694.4102083,2.24920833,42.65,221.9405,0,9.89583333,19.09583333,,3.35,67.43270833,27.01333333
